41.cubes1324.adj, verified, 0 solutions, 44.387  seconds 
41.cubes1325.adj, verified, 0 solutions, 2.47104  seconds 
41.cubes1326.adj, verified, 0 solutions, 96.7242  seconds 
41.cubes1327.adj, verified, 0 solutions, 38.659  seconds 
41.cubes1328.adj, verified, 0 solutions, 37.1975  seconds 
41.cubes1329.adj, verified, 0 solutions, 47.0799  seconds 
41.cubes133.adj, verified, 0 solutions, 34.206  seconds 
41.cubes1330.adj, verified, 0 solutions, 7.24441  seconds 
41.cubes1331.adj, verified, 0 solutions, 94.6871  seconds 
41.cubes1332.adj, verified, 0 solutions, 19.8576  seconds 
41.cubes1333.adj, verified, 0 solutions, 33.8483  seconds 
41.cubes1334.adj, verified, 0 solutions, 23.8007  seconds 
41.cubes1335.adj, verified, 0 solutions, 7.7231  seconds 
41.cubes1336.adj, verified, 0 solutions, 22.4024  seconds 
41.cubes1337.adj, verified, 0 solutions, 11.4273  seconds 
41.cubes1338.adj, verified, 0 solutions, 38.4465  seconds 
41.cubes1339.adj, verified, 0 solutions, 53.6671  seconds 
41.cubes134.adj, verified, 0 solutions, 31.5763  seconds 
41.cubes1340.adj, verified, 0 solutions, 250.986  seconds 
41.cubes1341.adj, verified, 0 solutions, 92.2699  seconds 
41.cubes1342.adj, verified, 0 solutions, 5.60477  seconds 
41.cubes1343.adj, verified, 0 solutions, 23.4109  seconds 
41.cubes1344.adj, verified, 0 solutions, 2.8167  seconds 
41.cubes1345.adj, verified, 0 solutions, 2.04848  seconds 
41.cubes1346.adj, verified, 0 solutions, 3.49171  seconds 
41.cubes1347.adj, verified, 0 solutions, 2.5115  seconds 
41.cubes1348.adj, verified, 0 solutions, 68.5559  seconds 
41.cubes1349.adj, verified, 0 solutions, 25.9003  seconds 
41.cubes135.adj, verified, 0 solutions, 18.5179  seconds 
41.cubes1350.adj, verified, 0 solutions, 45.6254  seconds 
41.cubes1351.adj, verified, 0 solutions, 235.375  seconds 
41.cubes1352.adj, verified, 0 solutions, 196.581  seconds 
41.cubes1353.adj, verified, 0 solutions, 63.377  seconds 
41.cubes1354.adj, verified, 0 solutions, 60.9133  seconds 
41.cubes1355.adj, verified, 0 solutions, 28.3246  seconds 
41.cubes1356.adj, verified, 0 solutions, 105.104  seconds 
41.cubes1357.adj, verified, 0 solutions, 164.906  seconds 
41.cubes1358.adj, verified, 0 solutions, 222.729  seconds 
41.cubes1359.adj, verified, 0 solutions, 253.219  seconds 
41.cubes136.adj, verified, 0 solutions, 8.81452  seconds 
41.cubes1360.adj, verified, 0 solutions, 279.592  seconds 
41.cubes1361.adj, verified, 0 solutions, 30.7854  seconds 
41.cubes1362.adj, verified, 0 solutions, 77.7775  seconds 
41.cubes1363.adj, verified, 0 solutions, 33.4444  seconds 
41.cubes1364.adj, verified, 0 solutions, 21.242  seconds 
41.cubes1365.adj, verified, 0 solutions, 51.2861  seconds 
41.cubes1366.adj, verified, 0 solutions, 21.8505  seconds 
41.cubes1367.adj, verified, 0 solutions, 65.7231  seconds 
41.cubes1368.adj, verified, 0 solutions, 76.8311  seconds 
41.cubes1369.adj, verified, 0 solutions, 175.119  seconds 
41.cubes137.adj, verified, 0 solutions, 18.5923  seconds 
41.cubes1370.adj, verified, 0 solutions, 28.3347  seconds 
41.cubes1371.adj, verified, 0 solutions, 11.1483  seconds 
41.cubes1372.adj, verified, 0 solutions, 42.3235  seconds 
41.cubes1373.adj, verified, 0 solutions, 178.969  seconds 
41.cubes1374.adj, verified, 0 solutions, 134.969  seconds 
41.cubes1375.adj, verified, 0 solutions, 48.8639  seconds 
41.cubes1376.adj, verified, 0 solutions, 39.1156  seconds 
41.cubes1377.adj, verified, 0 solutions, 116.635  seconds 
41.cubes1378.adj, verified, 0 solutions, 82.2398  seconds 
41.cubes1379.adj, verified, 0 solutions, 36.6589  seconds 
41.cubes138.adj, verified, 0 solutions, 16.8569  seconds 
41.cubes1380.adj, verified, 0 solutions, 61.7898  seconds 
41.cubes1381.adj, verified, 0 solutions, 44.3113  seconds 
